trace,policy,tenants,requests,errors,completion_percent,prep_peak_service_lead_s,prep_mean_service_lead_s,prep_peak_dispatch_lead,engine_peak_service_lead_s,engine_mean_service_lead_s,engine_peak_dispatch_lead,worst_best_tenant_slowdown_ratio,urgent_mean_e2e_s,background_mean_e2e_s,max_background_prep_wait_s,prep_utilization_percent,engine_utilization_percent,throughput_qps
equal-tenants-mixed-cost-seed1,fair_slowdown,3,48,0,100.0,37.18520240124781,10.35859319472195,3.0,8.82754734205082,5.269920807768358,3.0,1.178062705980192,56.8897328969033,53.33954448599575,101.47239156009164,83.98953596121096,32.49198934445835,0.24281388401943613
equal-tenants-mixed-cost-seed1,fcfs,3,48,0,100.0,151.7368271452142,93.73746270390025,12.0,63.873655669158325,63.80281251114017,2.0,1.6777130074564435,153.34144892620193,75.74359124602375,126.577527264948,89.0055260302959,55.01167786822127,0.2565916262370615
equal-tenants-mixed-cost-seed1,priority,3,48,0,100.0,117.73054219735786,69.79493130391555,12.0,24.696418512845412,24.62345575337531,8.0,3.187694198518169,30.276190673010813,93.279324004349,150.90101603104267,89.56915210066761,40.7130060599022,0.26514143580091093
equal-tenants-mixed-cost-seed1,sjf,3,48,0,100.0,81.60637485655025,25.637593885105478,4.0,2.035263317055069,1.894694233057089,2.0,1.3547864662514044,56.22599721019893,52.1551368330062,117.64877421106212,87.86516542736636,33.6488605539315,0.2543039260426656
equal-tenants-mixed-cost-seed1,tenant_fair,3,48,0,100.0,38.587907644337974,12.529493615986608,6.0,85.76274424651638,45.63791461904092,5.0,1.2304584463665573,139.64151991972662,85.8451750770748,132.5219411069993,87.68173746603932,62.251801816695206,0.2588586531667208
equal-tenants-mixed-cost-seed1,tenant_priority,3,48,0,100.0,16.694207878783345,8.056633032081367,5.0,73.79970844218042,33.24459068487886,5.0,1.1123763211079005,39.9049581384946,99.4613839651348,128.22785732103512,76.3341599710767,52.94559245668741,0.24687233170658182
equal-tenants-mixed-cost-seed2,fair_slowdown,3,48,0,100.0,41.64614631270524,7.659718448272659,3.0,8.524577625910752,4.43356680634539,2.0,1.115555038164135,63.16973134991713,53.289083220397714,147.11404684197623,90.16554562385241,28.99416703266432,0.22803319098290228
equal-tenants-mixed-cost-seed2,fcfs,3,48,0,100.0,233.0057831578888,151.04072805858388,12.0,82.27899538376369,82.27692959257402,3.0,1.6294053057121518,177.1084749122189,95.56238939351493,143.07269785006065,81.66774557539486,42.70446317386339,0.19928130265509397
equal-tenants-mixed-cost-seed2,priority,3,48,0,100.0,198.1113491752185,133.53635800362397,12.0,31.478771363734268,31.17962905026636,9.0,2.774519793502446,52.48613474073742,123.07931434937119,182.71052081603557,90.51435882281444,46.246348991487736,0.22469647544353283
equal-tenants-mixed-cost-seed2,sjf,3,48,0,100.0,181.62879495997913,45.31678779916103,4.0,2.5734514048090205,2.5734514048090205,2.0,1.2025600969741634,64.21383337389368,56.90443031204308,136.16120884695556,82.77763225194099,28.20970082256149,0.20977997783876492
equal-tenants-mixed-cost-seed2,tenant_fair,3,48,0,100.0,64.08479092782363,19.96063147985597,6.0,50.42963061318733,18.46411830004737,4.0,1.1314729129054542,171.98328941151462,87.17445291598818,162.1596216870239,92.1530414727617,42.71769894864822,0.22866828802750125
equal-tenants-mixed-cost-seed2,tenant_priority,3,48,0,100.0,54.981122944969684,21.54374435873987,6.0,69.45666846993845,49.39445610226248,5.0,1.2621357678095635,38.24516083840475,107.94050577120248,158.0449884099653,84.71536144571152,42.40589874808634,0.2343323612359853
equal-tenants-mixed-cost-seed3,fair_slowdown,3,48,0,100.0,98.72212469263468,11.125542437248995,2.0,6.698613198124804,2.9099247029481567,1.0,1.062699920376228,60.88997721903919,52.392362989889484,137.11598481598776,82.85010464396062,24.348951473238532,0.19808034860297966
equal-tenants-mixed-cost-seed3,fcfs,3,48,0,100.0,173.85367081302684,116.8749379757342,12.0,47.044205465121195,32.668081918059706,5.0,1.9036157475733047,175.11755105411672,81.24030178622667,136.52534175291657,83.91040571297347,38.32844677445123,0.2046762960220642
equal-tenants-mixed-cost-seed3,priority,3,48,0,100.0,166.27988742629532,97.95701721822417,12.0,32.51868534728419,21.37969105886507,7.0,2.2816559138874606,31.358305540692527,109.75085958838463,173.4122247340856,77.37965022903434,34.51069082346619,0.1869865408532732
equal-tenants-mixed-cost-seed3,sjf,3,48,0,100.0,116.68338372907601,28.209839267611624,4.0,5.696422959910706,5.591708398991614,2.0,1.2270591789100311,59.32899847905113,55.44523450532708,143.59273867099546,82.78860744781146,25.474691176002693,0.20247375856800656
equal-tenants-mixed-cost-seed3,tenant_fair,3,48,0,100.0,47.074681132799014,16.628351930779424,5.0,30.32970670913346,22.149981964493055,5.0,1.1983106934922327,189.27526833335287,80.47377928373236,183.78748995403294,91.31189218814158,45.94741889360306,0.2233499411980475
equal-tenants-mixed-cost-seed3,tenant_priority,3,48,0,100.0,43.20770402881317,11.615246221701321,5.0,58.95350350800436,19.148300611516824,4.0,1.144952412940795,39.839945925516076,98.43639524830763,150.60549084702507,85.53705092785567,51.98863141726736,0.22445471294862193
equal-tenants-mixed-cost-seed4,fair_slowdown,3,48,0,100.0,113.36997976573184,20.310794445853926,2.0,7.829044513055123,4.539916633768978,3.0,1.2493709642183963,72.75845714630366,62.16555024428332,169.451517606969,88.24971564233635,25.15302391315849,0.19438807450822776
equal-tenants-mixed-cost-seed4,fcfs,3,48,0,100.0,245.55949875502847,130.75079264869765,12.0,25.841755064786412,24.707099323063932,4.0,1.517605861390567,198.89917808276368,96.05399054018199,163.93518361705355,86.08059473106212,35.966334891363886,0.18094565080503103
equal-tenants-mixed-cost-seed4,priority,3,48,0,100.0,242.88870260398835,102.68584428397922,12.0,nan,nan,nan,1.840275022481593,34.61873627471505,135.75195702166013,212.77660822705366,86.40102024790878,30.289591098493652,0.18237764481534055
equal-tenants-mixed-cost-seed4,sjf,3,48,0,100.0,184.7124460147461,42.46984983866469,4.0,0.42470555007457733,0.4239480855758302,1.0,1.2897631813550623,70.60006106735091,61.50928359660449,153.19191216200124,87.82271451700191,20.232696427126104,0.18598665542288972
equal-tenants-mixed-cost-seed4,tenant_fair,3,48,0,100.0,106.88891530490946,50.37189541034054,9.0,47.42849605111405,22.238126102610426,8.0,1.0594438216647792,203.1055413474678,117.05219910486227,203.40398314001504,91.46912243400281,32.783620334954016,0.19161258401032694
equal-tenants-mixed-cost-seed4,tenant_priority,3,48,0,100.0,92.12475451105274,36.77194712969205,5.0,21.117294626077637,15.20697351474082,3.0,1.2498391947531184,60.89746171981096,146.23204268364418,205.47413894394413,94.42458553069406,35.73742791879607,0.21243537258618747
