config_name,accuracy_pct,latency_mean,latency_median,latency_p95,n,latency_speedup_vs_slowest
w16_k8_budget16,68.07095343680709,1.1281977535087095,1.0709052085876465,1.5730257034301758,451,5.9696827105739105
retrieval_topk,68.07095343680709,6.7349826232292695,6.471835136413574,8.271488189697266,451,1.0
scan05,67.92035398230088,4.003841572630722,3.7647382020950317,5.616799437999725,452,1.682130149521389
scan0.03125_k8_budget32,67.84922394678492,1.956104634870711,1.8872032165527344,2.5479925870895386,451,3.443058465875175
scan2,66.8141592920354,5.756305589085132,5.490525007247925,7.231385588645935,452,1.170018255458825
top4,66.74057649667405,4.2322740607674,4.024625539779663,5.541197419166565,451,1.5913389649459695
top16,65.6319290465632,5.133743881386294,4.816585302352905,7.044509172439575,451,1.3119046798670027
baseline,65.48672566371681,4.695222874658298,4.4371562004089355,6.266658854484557,452,1.4344329977561328
w4_k8_budget16,65.41019955654102,0.8697127513504874,0.8363988399505615,1.1462371349334717,451,7.743916152512663
budget64,65.41019955654102,2.4464573061915567,2.404057264328003,2.897387742996216,451,2.7529532627380022
scan0.125_k8_budget32,65.41019955654102,3.0184716977459893,2.866342306137085,4.4197704792022705,451,2.231255846545967
w8_k8_budget16,64.07982261640798,0.972210934844091,0.9284985065460205,1.2456656694412231,451,6.927491125482278
scan0.0039_k8_budget32,62.74944567627494,1.0754777851231612,1.045072078704834,1.2671812772750854,451,6.262316819922036
budget32,62.74944567627494,1.4130424940401065,1.3697071075439453,1.7403801679611206,451,4.766298714749134
k4,62.74944567627494,1.4398926329982782,1.400763988494873,1.768369197845459,451,4.677420016522387
k8,62.74944567627494,1.44483992477214,1.4028873443603516,1.7642449140548706,451,4.6614040128296
k16,62.74944567627494,1.4530914749644548,1.4133014678955078,1.8243722915649414,451,4.63493368398849
scan0.0156_k8_budget32,62.74944567627494,1.471202518881821,1.422687292098999,1.9079889059066772,451,4.57787594623489
budget8,60.08869179600887,0.782584858575047,0.7429344654083252,1.0829598903656006,451,8.60607325765607
k2,57.42793791574279,1.3369308548861756,1.296842336654663,1.661370038986206,451,5.037644690908623
budget2,54.767184035476724,0.49269797690956135,0.4717838764190674,0.6944835186004639,451,13.669596667464152
k1,54.54545454545454,1.2049129611901328,1.171964168548584,1.4726577997207642,451,5.58960094227628
