Wrote: /dataheart/hussainahmad/video-rlm/conductor/experiments/egoschema/techniques/global_summary_total_tokens4096/scored/window_frame_sweep_evidence_scored.jsonl
Rows: 100
Main score mode: evidence_inclusive

 action_topk  frames_per_window  n  mean_gold_coverage  mean_final_only  mean_evidence_inclusive  mean_latency  mean_vlm_latency  mean_decode_latency  mean_images
           1                  1  4            0.404167         0.404167                 0.404167     12.563590         12.509087             0.054503          1.0
           1                  2  4            0.545833         0.545833                 0.545833     12.847252         12.713678             0.133574          2.0
           1                  4  4            0.412500         0.412500                 0.412500      7.809966          7.662592             0.147374          4.0
           1                  8  4            0.545833         0.545833                 0.545833      9.083091          8.923012             0.160079          8.0
           1                 16  4            0.237500         0.175000                 0.237500      7.937952          7.754097             0.183855         16.0
           3                  1  4            0.508333         0.445833                 0.508333     21.046987         20.880418             0.166569          3.0
           3                  2  4            0.258333         0.258333                 0.258333      6.946196          6.699482             0.246714          6.0
           3                  4  4            0.258333         0.258333                 0.258333      6.631219          6.297077             0.334142         12.0
           3                  8  4            0.362500         0.362500                 0.362500      9.897013          9.531803             0.365210         24.0
           3                 16  4            0.300000         0.300000                 0.300000     13.407843         12.969640             0.438203         48.0
           5                  1  4            0.487500         0.425000                 0.487500     32.332482         32.051903             0.280579          5.0
           5                  2  4            0.258333         0.258333                 0.258333      5.962602          5.576593             0.386009         10.0
           5                  4  4            0.300000         0.300000                 0.300000      9.471796          8.939058             0.532738         20.0
           5                  8  4            0.362500         0.362500                 0.362500     11.952542         11.366537             0.586005         40.0
           5                 16  4            0.425000         0.425000                 0.425000     18.494063         17.811770             0.682292         80.0
          10                  1  4            0.308333         0.308333                 0.308333      5.903789          5.478791             0.424998         10.0
          10                  2  4            0.258333         0.258333                 0.258333      7.948142          7.063329             0.884813         20.0
          10                  4  4            0.362500         0.362500                 0.362500     12.684699         11.602217             1.082481         40.0
          10                  8  4            0.425000         0.425000                 0.425000     15.818818         14.588456             1.230362         80.0
          10                 16  4            0.320833         0.320833                 0.320833     28.485037         27.085072             1.399966        160.0
          20                  1  4            0.362500         0.362500                 0.362500      8.322793          7.681028             0.641765         20.0
          20                  2  4            0.300000         0.300000                 0.300000     12.388997         11.098864             1.290133         40.0
          20                  4  4            0.425000         0.425000                 0.425000     18.140869         16.651943             1.488926         80.0
          20                  8  4            0.383333         0.383333                 0.383333     28.125303         26.362403             1.762900        160.0
          20                 16  4            0.425000         0.425000                 0.425000     61.236444         59.179680             2.056764        320.0
