Wrote: /dataheart/hussainahmad/video-rlm/conductor/experiments/egoschema/techniques/map_summary_total_tokens4096/scored/window_frame_sweep_evidence_scored.jsonl
Rows: 100
Main score mode: evidence_inclusive

 action_topk  frames_per_window  n  mean_gold_coverage  mean_final_only  mean_evidence_inclusive  mean_latency  mean_vlm_latency  mean_decode_latency  mean_images
           1                  1  4            0.400000         0.400000                 0.400000     11.407988         11.341518             0.066471          1.0
           1                  2  4            0.537500         0.537500                 0.537500      9.496178          9.367739             0.128439          2.0
           1                  4  4            0.412500         0.412500                 0.412500      9.113686          8.957525             0.156161          4.0
           1                  8  4            0.379167         0.379167                 0.379167      7.186821          7.020697             0.166124          8.0
           1                 16  4            0.379167         0.379167                 0.379167     10.593473         10.407237             0.186236         16.0
           3                  1  4            0.600000         0.516667                 0.600000     20.639629         20.413100             0.226529          3.0
           3                  2  4            0.475000         0.475000                 0.475000     19.314933         18.982590             0.332343          6.0
           3                  4  4            0.462500         0.462500                 0.462500     14.057605         13.645012             0.412593         12.0
           3                  8  4            0.412500         0.412500                 0.412500     15.347917         14.915445             0.432472         24.0
           3                 16  4            0.379167         0.379167                 0.379167     17.130649         16.613225             0.517424         48.0
           5                  1  4            0.641667         0.600000                 0.641667     28.824563         28.395812             0.428751          5.0
           5                  2  4            0.600000         0.600000                 0.600000     20.757352         20.226892             0.530461         10.0
           5                  4  4            0.504167         0.504167                 0.504167     19.372941         18.680330             0.692611         20.0
           5                  8  4            0.462500         0.462500                 0.462500     18.040259         17.316796             0.723463         40.0
           5                 16  4            0.545833         0.545833                 0.545833     21.638012         20.720502             0.917510         80.0
          10                  1  4            0.712500         0.608333                 0.712500     50.115814         49.335729             0.780085         10.0
          10                  2  4            0.650000         0.650000                 0.650000     38.167271         36.937065             1.230206         20.0
          10                  4  4            0.616667         0.616667                 0.616667     29.836455         28.412332             1.424122         40.0
          10                  8  4            0.379167         0.379167                 0.379167     24.123264         22.531102             1.592162         80.0
          10                 16  4            0.545833         0.483333                 0.545833     31.901141         30.098199             1.802942        160.0
          20                  1  4            0.741667         0.700000                 0.741667     85.168049         83.816462             1.351587         20.0
          20                  2  4            0.608333         0.516667                 0.608333     53.305145         50.287668             3.017477         40.0
          20                  4  4            0.679167         0.679167                 0.679167     43.314527         40.177012             3.137515         80.0
          20                  8  4            0.629167         0.629167                 0.629167     41.382294         37.903829             3.478465        160.0
          20                 16  4            0.658333         0.658333                 0.658333     54.259186         50.472765             3.786421        320.0
