Wrote: /dataheart/hussainahmad/video-rlm/conductor/experiments/egoschema/techniques/one_shot_total_tokens4096/scored/window_frame_sweep_evidence_scored.jsonl
Rows: 100
Main score mode: evidence_inclusive

 action_topk  frames_per_window  n  mean_gold_coverage  mean_final_only  mean_evidence_inclusive  mean_latency  mean_vlm_latency  mean_decode_latency  mean_images
           1                  1  4            0.266667         0.266667                 0.266667      4.982467          4.936621             0.045846          1.0
           1                  2  4            0.175000         0.175000                 0.175000      1.789522          1.653236             0.136286          2.0
           1                  4  4            0.083333         0.083333                 0.083333      1.580908          1.438237             0.142670          4.0
           1                  8  4            0.091667         0.091667                 0.091667      1.517240          1.369116             0.148124          8.0
           1                 16  4            0.091667         0.091667                 0.091667      2.324513          2.157066             0.167447         16.0
           3                  1  4            0.258333         0.258333                 0.258333      1.579216          1.429321             0.149895          3.0
           3                  2  4            0.216667         0.216667                 0.216667      1.614128          1.370536             0.243592          6.0
           3                  4  4            0.125000         0.125000                 0.125000      1.643520          1.307359             0.336161         12.0
           3                  8  4            0.125000         0.125000                 0.125000      2.714802          2.360705             0.354097         24.0
           3                 16  4            0.083333         0.083333                 0.083333      5.384021          4.962840             0.421181         48.0
           5                  1  4            0.216667         0.216667                 0.216667      1.603284          1.348823             0.254462          5.0
           5                  2  4            0.125000         0.125000                 0.125000      1.506685          1.112301             0.394383         10.0
           5                  4  4            0.083333         0.083333                 0.083333      2.527738          2.005355             0.522383         20.0
           5                  8  4            0.125000         0.125000                 0.125000      4.537736          3.958771             0.578966         40.0
           5                 16  4            0.145833         0.145833                 0.145833      9.046850          8.340192             0.706658         80.0
          10                  1  4            0.166667         0.166667                 0.166667      1.630493          1.210603             0.419890         10.0
          10                  2  4            0.083333         0.083333                 0.083333      2.790559          1.905545             0.885014         20.0
          10                  4  4            0.083333         0.083333                 0.083333      4.969384          3.887846             1.081538         40.0
          10                  8  4            0.125000         0.125000                 0.125000      9.425067          8.219534             1.205533         80.0
          10                 16  4            0.187500         0.187500                 0.187500     19.161265         17.736617             1.424649        160.0
          20                  1  4            0.166667         0.166667                 0.166667      2.640246          2.023547             0.616699         20.0
          20                  2  4            0.125000         0.125000                 0.125000      5.130282          3.869703             1.260580         40.0
          20                  4  4            0.083333         0.083333                 0.083333      9.395348          7.905286             1.490062         80.0
          20                  8  4            0.187500         0.187500                 0.187500     19.126243         17.398676             1.727567        160.0
          20                 16  4            0.145833         0.145833                 0.145833     45.335104         43.321957             2.013146        320.0
