dataset,config,accuracy_pct,latency_mean,latency_median,latency_p95,n,is_pareto
EgoSchema,budget2,54.767184035476724,0.49269797690956135,0.4717838764190674,0.6944835186004639,451,True
EgoSchema,budget8,60.08869179600887,0.782584858575047,0.7429344654083252,1.0829598903656006,451,True
EgoSchema,w4_k8_budget16,65.41019955654102,0.8697127513504874,0.8363988399505615,1.1462371349334717,451,True
EgoSchema,w8_k8_budget16,64.07982261640798,0.972210934844091,0.9284985065460205,1.2456656694412231,451,False
EgoSchema,scan0.0039_k8_budget32,62.74944567627494,1.0754777851231612,1.045072078704834,1.2671812772750854,451,False
EgoSchema,w16_k8_budget16,68.07095343680709,1.1281977535087095,1.0709052085876465,1.5730257034301758,451,True
EgoSchema,k1,54.54545454545454,1.2049129611901328,1.171964168548584,1.4726577997207642,451,False
EgoSchema,k2,57.42793791574279,1.3369308548861756,1.296842336654663,1.661370038986206,451,False
EgoSchema,budget32,62.74944567627494,1.4130424940401065,1.3697071075439453,1.7403801679611206,451,False
EgoSchema,k4,62.74944567627494,1.4398926329982782,1.400763988494873,1.768369197845459,451,False
EgoSchema,k8,62.74944567627494,1.44483992477214,1.4028873443603516,1.7642449140548706,451,False
EgoSchema,k16,62.74944567627494,1.4530914749644548,1.4133014678955078,1.8243722915649414,451,False
EgoSchema,scan0.0156_k8_budget32,62.74944567627494,1.471202518881821,1.422687292098999,1.9079889059066772,451,False
EgoSchema,scan0.03125_k8_budget32,67.84922394678492,1.956104634870711,1.8872032165527344,2.5479925870895386,451,False
EgoSchema,budget64,65.41019955654102,2.4464573061915567,2.404057264328003,2.897387742996216,451,False
EgoSchema,scan0.125_k8_budget32,65.41019955654102,3.0184716977459893,2.866342306137085,4.4197704792022705,451,False
EgoSchema,scan05,67.92035398230088,4.003841572630722,3.7647382020950317,5.616799437999725,452,False
EgoSchema,top4,66.74057649667405,4.2322740607674,4.024625539779663,5.541197419166565,451,False
EgoSchema,baseline,65.48672566371681,4.695222874658298,4.4371562004089355,6.266658854484557,452,False
EgoSchema,top16,65.6319290465632,5.133743881386294,4.816585302352905,7.044509172439575,451,False
EgoSchema,scan2,66.8141592920354,5.756305589085132,5.490525007247925,7.231385588645935,452,False
EgoSchema,retrieval_topk,68.07095343680709,6.7349826232292695,6.471835136413574,8.271488189697266,451,False
LVBench,budget2,35.36585365853659,0.6183909642987135,0.5494024753570557,1.1441825389862061,82,True
LVBench,budget8,45.1219512195122,0.8232880103878859,0.7907637357711792,1.3254947066307068,82,True
LVBench,w4_k8_budget16,46.34146341463415,1.1035272260991538,1.084531307220459,1.804314088821411,82,True
LVBench,w8_k8_budget16,46.34146341463415,1.126106503533154,1.1216397285461426,1.8192265629768374,82,False
LVBench,w16_k8_budget16,43.90243902439025,1.1591919864096292,1.101881980895996,1.8197275400161743,82,False
LVBench,scan0.0039_k8_budget32,46.34146341463415,1.2178005212690772,1.1871745586395264,1.696129322052002,82,False
LVBench,k1,40.24390243902439,1.2672153246111986,1.228989839553833,1.7293639183044434,82,False
LVBench,k2,48.78048780487805,1.3920696828423478,1.3389897346496582,2.1541530132293705,82,True
LVBench,k4,46.34146341463415,1.488503857356746,1.4890209436416626,2.0785357117652894,82,False
LVBench,budget32,47.5609756097561,1.648804559940245,1.6631053686141968,2.5866113662719727,82,False
LVBench,k8,47.5609756097561,1.6876505555176153,1.674412727355957,2.4746055722236635,82,False
LVBench,scan0.0156_k8_budget32,47.5609756097561,1.70366722199975,1.6974974870681763,2.504865026473999,82,False
LVBench,k16,48.78048780487805,1.7867471444897536,1.7915537357330322,2.81392480134964,82,False
LVBench,scan0.03125_k8_budget32,47.5609756097561,2.073898335782493,1.9894121885299683,3.1977586269378664,82,False
LVBench,budget64,47.5609756097561,2.627052426338196,2.722743511199951,3.561414694786072,82,False
LVBench,scan0.125_k8_budget32,43.90243902439025,3.9850688474934275,3.202858090400696,7.579915761947632,82,False
LVBench,scan05,52.4390243902439,8.411058143871587,6.0504690408706665,16.244175159931185,82,True
LVBench,top4,46.34146341463415,10.994213581085205,7.5485957860946655,23.668638288974766,82,False
LVBench,baseline,47.5609756097561,11.344501736687452,8.265524864196777,23.873295676708224,82,False
LVBench,top16,46.34146341463415,11.346778157280713,8.096069574356079,24.259050107002267,82,False
LVBench,scan2,46.34146341463415,15.76794471101063,10.956116676330566,35.84638122320176,82,False
LVBench,retrieval_topk,46.34146341463415,16.755184380019582,12.034378051757812,36.55655347108842,82,False
VRBench,scan0.0039_k8_budget32,54.09836065573771,3.9565455444523545,3.908261299133301,4.840571165084839,61,True
VRBench,budget2,35.483870967741936,4.472577071958972,4.319325566291809,6.012469136714935,62,False
VRBench,budget8,50.0,5.146719340355165,4.893815517425537,6.273889338970184,62,False
VRBench,k1,50.0,5.356268436677994,5.275924801826477,7.081263995170593,62,False
VRBench,k2,45.16129032258064,5.689324278985301,5.559449672698975,7.242081153392792,62,False
VRBench,w16_k8_budget16,45.16129032258064,5.812377537450483,5.788140773773193,6.943142735958099,62,False
VRBench,w4_k8_budget16,51.61290322580645,5.903383158868359,5.704960107803345,7.103822565078735,62,False
VRBench,w8_k8_budget16,51.61290322580645,5.936438868122716,5.816064476966858,7.371549069881439,62,False
VRBench,k4,51.61290322580645,6.323947022038121,6.1963911056518555,7.585717225074768,62,False
VRBench,budget32,58.06451612903226,7.059125508031538,6.9567811489105225,8.114112401008606,62,True
VRBench,k8,58.06451612903226,7.156702068544203,7.093258857727051,8.414949560165404,62,False
VRBench,scan0.0156_k8_budget32,57.377049180327866,7.19811670897437,7.088920831680298,8.17181658744812,61,False
VRBench,k16,58.06451612903226,7.837061982001027,7.718402028083801,9.156979072093963,62,False
VRBench,budget64,54.83870967741935,8.529058990939971,8.338258147239685,9.794631242752075,62,False
VRBench,scan0.03125_k8_budget32,59.67741935483871,11.477071223720428,11.537373900413513,13.429799509048461,62,True
VRBench,scan0.125_k8_budget32,48.333333333333336,35.75336654186249,37.49699640274048,44.62959666252136,60,False
VRBench,scan05,50.847457627118644,87.32580496092974,104.55287313461304,114.0606503725052,59,False
VRBench,top4,48.333333333333336,107.05039543310801,132.0865752696991,140.26255477666854,60,False
VRBench,baseline,55.932203389830505,107.40824214482711,130.76538014411926,141.0086423635483,59,False
VRBench,top16,55.00000000000001,108.32651575406392,131.84807407855988,140.75886795520782,60,False
VRBench,scan2,55.932203389830505,129.15873209904817,157.19598960876465,172.71384694576264,59,False
VRBench,retrieval_topk,52.459016393442624,132.8165789666723,160.97187781333923,175.43663835525513,61,False
